Year,date,Sea Level,source
1990,7/15/1990,-22.84739583,historical
1991,7/15/1991,-22.8140625,historical
1992,7/15/1992,-20.24739583,historical
1993,7/15/1993,-22.78072917,historical
1994,7/15/1994,-17.98072917,historical
1995,7/15/1995,-15.58072917,historical
1996,7/15/1996,-11.94739583,historical
1997,7/15/1997,-2.647395833,historical
1998,7/15/1998,-10.8140625,historical
1999,7/15/1999,-0.247395833,historical
2000,7/15/2000,2.952604167,historical
2001,7/15/2001,4.719270833,historical
2002,7/15/2002,2.152604167,historical
2003,7/15/2003,14.61927083,historical
2004,7/15/2004,13.65260417,historical
2005,7/15/2005,12.11927083,historical
2006,7/15/2006,9.519270833,historical
2007,7/15/2007,22.7859375,historical
2008,7/15/2008,30.45260417,historical
2009,7/15/2009,33.65260417,historical
2010,7/15/2010,33.87824005,historical
2011,7/15/2011,36.71847075,historical
2012,7/15/2012,47.17390325,historical
2013,7/15/2013,41.33798668,historical
2014,7/15/2014,53.85737212,historical
2015,7/15/2015,50.46170567,historical
2016,7/15/2016,54.34696367,historical
2017,7/15/2017,57.35599133,historical
2018,7/15/2018,53.08512198,historical
2019,7/15/2019,61.39371322,historical
2020,7/15/2020,66.70432506,historical
2021,7/15/2021,72.1631,synthetic
2022,7/15/2022,73.91339,synthetic
2023,7/15/2023,78.04536,synthetic
2024,7/15/2024,80.03463,synthetic
2025,7/15/2025,84.87107,synthetic
