Year,date,Sea Level,source,Linear_Trend,Trend_Rate_mm_per_yr,YoY_Change_mm,Moving_Avg_10yr,Decade,Sea_Level_Relative
1942,7/15/1942,-101.4474,historical,-94.123,1.6938,-0.7,-108.4874,1940,81.8
1943,7/15/1943,-104.0141,historical,-92.4292,1.6938,-2.5667,-106.2441,1940,79.2333
1944,7/15/1944,-116.9474,historical,-90.7353,1.6938,-12.9333,-103.2707,1940,66.3
1945,7/15/1945,-104.4474,historical,-89.0415,1.6938,12.5,-102.6641,1940,78.8
1946,7/15/1946,-92.6807,historical,-87.3476,1.6938,11.7667,-99.6407,1940,90.5667
1947,7/15/1947,-97.4474,historical,-85.6538,1.6938,-4.7667,-97.7974,1940,85.8
1948,7/15/1948,-91.8141,historical,-83.9599,1.6938,5.6333,-96.1007,1940,91.4333
1949,7/15/1949,-95.4141,historical,-82.2661,1.6938,-3.6,-93.2341,1940,87.8333
1950,7/15/1950,-91.4474,historical,-80.5722,1.6938,3.9667,-90.2107,1950,91.8
1951,7/15/1951,-82.3141,historical,-78.8784,1.6938,9.1333,-88.5107,1950,100.9333
1952,7/15/1952,-84.4807,historical,-77.1845,1.6938,-2.1667,-87.9007,1950,98.7667
1953,7/15/1953,-75.3474,historical,-75.4907,1.6938,9.1333,-85.1107,1950,107.9
1954,7/15/1954,-86.7141,historical,-73.7968,1.6938,-11.3667,-83.2207,1950,96.5333
1955,7/15/1955,-87.4474,historical,-72.103,1.6938,-0.7333,-80.7007,1950,95.8
1956,7/15/1956,-86.5807,historical,-70.4091,1.6938,0.8667,-78.2441,1950,96.6667
1957,7/15/1957,-69.5474,historical,-68.7153,1.6938,17.0333,-76.0874,1950,113.7
1958,7/15/1958,-72.9141,historical,-67.0214,1.6938,-3.3667,-74.4441,1950,110.3333
1959,7/15/1959,-70.2141,historical,-65.3276,1.6938,2.7,-73.9007,1950,113.0333
1960,7/15/1960,-66.8807,historical,-63.6337,1.6938,3.3333,-72.3274,1960,116.3667
1961,7/15/1961,-60.7474,historical,-61.9399,1.6938,6.1333,-70.2141,1960,122.5
1962,7/15/1962,-68.0474,historical,-60.246,1.6938,-7.3,-68.6041,1960,115.2
1963,7/15/1963,-69.9141,historical,-58.5522,1.6938,-1.8667,-68.2941,1960,113.3333
1964,7/15/1964,-70.9807,historical,-56.8583,1.6938,-1.0667,-68.2841,1960,112.2667
1965,7/15/1965,-66.3141,historical,-55.1645,1.6938,4.6667,-67.5241,1960,116.9333
1966,7/15/1966,-70.4807,historical,-53.4706,1.6938,-4.1667,-67.3107,1960,112.7667
1967,7/15/1967,-66.4474,historical,-51.7768,1.6938,4.0333,-67.2841,1960,116.8
1968,7/15/1968,-72.8141,historical,-50.0829,1.6938,-6.3667,-64.8507,1960,110.4333
1969,7/15/1969,-62.6141,historical,-48.3891,1.6938,10.2,-63.5341,1960,120.6333
1970,7/15/1970,-64.7474,historical,-46.6952,1.6938,-2.1333,-60.7541,1970,118.5
1971,7/15/1971,-60.4807,historical,-45.0014,1.6938,4.2667,-58.7074,1970,122.7667
1972,7/15/1972,-43.7141,historical,-43.3075,1.6938,16.7667,-56.1341,1970,139.5333
1973,7/15/1973,-56.7474,historical,-41.6137,1.6938,-13.0333,-54.3407,1970,126.5
1974,7/15/1974,-43.1807,historical,-39.9198,1.6938,13.5667,-51.2407,1970,140.0667
1975,7/15/1975,-45.8474,historical,-38.226,1.6938,-2.6667,-49.6607,1970,137.4
1976,7/15/1976,-44.7474,historical,-36.5321,1.6938,1.1,-47.3741,1970,138.5
1977,7/15/1977,-48.5141,historical,-34.8383,1.6938,-3.7667,-43.9241,1970,134.7333
1978,7/15/1978,-41.8141,historical,-33.1444,1.6938,6.7,-43.3407,1970,141.4333
1979,7/15/1979,-46.8141,historical,-31.4506,1.6938,-5.0,-39.8941,1970,136.4333
1980,7/15/1980,-41.8807,historical,-29.7567,1.6938,4.9333,-37.7474,1980,141.3667
1981,7/15/1981,-25.9807,historical,-28.0629,1.6938,15.9,-36.8607,1980,157.2667
1982,7/15/1982,-37.8807,historical,-26.369,1.6938,-11.9,-35.9041,1980,145.3667
1983,7/15/1983,-22.2807,historical,-24.6752,1.6938,15.6,-34.3774,1980,160.9667
1984,7/15/1984,-21.7141,historical,-22.9813,1.6938,0.5667,-33.0807,1980,161.5333
1985,7/15/1985,-36.9807,historical,-21.2875,1.6938,-15.2667,-30.9141,1980,146.2667
1986,7/15/1986,-35.1807,historical,-19.5936,1.6938,1.8,-29.0107,1980,148.0667
1987,7/15/1987,-33.2474,historical,-17.8998,1.6938,1.9333,-28.6941,1980,150.0
1988,7/15/1988,-28.8474,historical,-16.2059,1.6938,4.4,-26.9307,1980,154.4
1989,7/15/1989,-25.1474,historical,-14.5121,1.6938,3.7,-26.9807,1980,158.1
1990,7/15/1990,-22.8474,historical,-12.8182,1.6938,2.3,-26.6074,1990,160.4
1991,7/15/1991,-22.8141,historical,-11.1244,1.6938,0.0333,-24.4674,1990,160.4333
1992,7/15/1992,-20.2474,historical,-9.4305,1.6938,2.5667,-22.1441,1990,163.0
1993,7/15/1993,-22.7807,historical,-7.7367,1.6938,-2.5333,-19.0841,1990,160.4667
1994,7/15/1994,-17.9807,historical,-6.0428,1.6938,4.8,-17.2807,1990,165.2667
1995,7/15/1995,-15.5807,historical,-4.349,1.6938,2.4,-14.7907,1990,167.6667
1996,7/15/1996,-11.9474,historical,-2.6551,1.6938,3.6333,-12.2107,1990,171.3
1997,7/15/1997,-2.6474,historical,-0.9613,1.6938,9.3,-9.4574,1990,180.6
1998,7/15/1998,-10.8141,historical,0.7326,1.6938,-8.1667,-7.2174,1990,172.4333
1999,7/15/1999,-0.2474,historical,2.4264,1.6938,10.5667,-3.4774,1990,183.0
2000,7/15/2000,2.9526,historical,4.1203,1.6938,3.2,-0.3141,2000,186.2
2001,7/15/2001,4.7193,historical,5.8141,1.6938,1.7667,2.4559,2000,187.9667
2002,7/15/2002,2.1526,historical,7.508,1.6938,-2.5667,4.6026,2000,185.4
2003,7/15/2003,14.6193,historical,9.2018,1.6938,12.4667,7.1459,2000,197.8667
2004,7/15/2004,13.6526,historical,10.8957,1.6938,-0.9667,11.2726,2000,196.9
2005,7/15/2005,12.1193,historical,12.5895,1.6938,-1.5333,14.6626,2000,195.3667
2006,7/15/2006,9.5193,historical,14.2834,1.6938,-2.6,17.7552,2000,192.7667
2007,7/15/2007,22.7859,historical,15.9772,1.6938,13.2667,20.9551,2000,206.0333
2008,7/15/2008,30.4526,historical,17.6711,1.6938,7.6667,25.4572,2000,213.7
2009,7/15/2009,33.6526,historical,19.3649,1.6938,3.2,28.1291,2000,216.9
2010,7/15/2010,33.8782,historical,21.0588,1.6938,0.2256,32.1496,2010,217.1256
2011,7/15/2011,36.7185,historical,22.7526,1.6938,2.8402,35.9838,2010,219.9659
2012,7/15/2012,47.1739,historical,24.4465,1.6938,10.4554,40.4666,2010,230.4213
2013,7/15/2013,41.338,historical,26.1403,1.6938,-5.8359,43.9236,2010,224.5854
2014,7/15/2014,53.8574,historical,27.8342,1.6938,12.5194,46.1868,2010,237.1048
2015,7/15/2015,50.4617,historical,29.528,1.6938,-3.3957,48.9609,2010,233.7091
2016,7/15/2016,54.347,historical,31.2219,1.6938,3.8853,52.2436,2010,237.5944
2017,7/15/2017,57.356,historical,32.9157,1.6938,3.009,55.788,2010,240.6034
2018,7/15/2018,53.0851,historical,34.6096,1.6938,-4.2709,58.462,2010,236.3325
2019,7/15/2019,61.3937,historical,36.3034,1.6938,8.3086,62.1327,2010,244.6411
2020,7/15/2020,66.7043,historical,37.9973,1.6938,5.3106,64.7504,2020,249.9517
2021,7/15/2021,72.1631,synthetic,39.6911,1.6938,5.4588,68.1914,2020,255.4105
2022,7/15/2022,73.9134,synthetic,41.385,1.6938,1.7503,,2020,257.1608
2023,7/15/2023,78.0454,synthetic,43.0788,1.6938,4.132,,2020,261.2928
2024,7/15/2024,80.0346,synthetic,44.7727,1.6938,1.9893,,2020,263.282
2025,7/15/2025,84.8711,synthetic,46.4665,1.6938,4.8364,,2020,268.1185
